,Label,Checkpoint,OriginalLoss,AblatedLoss,AblationIncrease
0,L2N2035,0,11.026307892799377,11.02640429019928,9.63973999024148e-05
1,L3N1595,0,11.026307892799377,11.026159176826477,-0.00014871597289989325
2,L0N880,0,11.026307892799377,11.026322174072266,1.428127288960468e-05
3,L0N1,0,11.026307892799377,11.026335854530334,2.7961730957315467e-05
4,L1N896,0,11.026307892799377,11.026295404434205,-1.2488365172202975e-05
5,L5N1327,0,11.026307892799377,11.026363153457641,5.526065826444437e-05
6,L1N253,0,11.026307892799377,11.026317520141601,9.627342224760582e-06
7,L2N1675,0,11.026307892799377,11.026423707008362,0.00011581420898565398
8,L3N452,0,11.026307892799377,11.026453337669373,0.00014544486999668038
9,L1N1060,0,11.026307892799377,11.02634054660797,3.265380859396316e-05
10,L0N1183,0,11.026307892799377,11.026788120269776,0.00048022747039944136
11,L2N2035,10,5.917339606285095,5.917671964168549,0.00033235788345375994
12,L3N1595,10,5.917339606285095,5.918316557407379,0.0009769511222836869
13,L0N880,10,5.917339606285095,5.91731014251709,-2.9463768004944768e-05
14,L0N1,10,5.917339606285095,5.91793110370636,0.0005914974212650748
15,L1N896,10,5.917339606285095,5.916991186141968,-0.0003484201431271927
16,L5N1327,10,5.917339606285095,5.917573111057282,0.0002335047721864214
17,L1N253,10,5.917339606285095,5.917261488437653,-7.811784744227168e-05
18,L2N1675,10,5.917339606285095,5.917583386898041,0.00024378061294605402
19,L3N452,10,5.917339606285095,5.917156343460083,-0.00018326282501224256
20,L1N1060,10,5.917339606285095,5.917346014976501,6.40869140600131e-06
21,L0N1183,10,5.917339606285095,5.918079299926758,0.0007396936416625977
22,L2N2035,20,3.1829738026857375,3.183356785774231,0.0003829830884933827
23,L3N1595,20,3.1829738026857375,3.183597730398178,0.0006239277124406861
24,L0N880,20,3.1829738026857375,3.1832570499181747,0.0002832472324372226
25,L0N1,20,3.1829738026857375,3.1831742680072783,0.00020046532154083252
26,L1N896,20,3.1829738026857375,3.183231837749481,0.0002580350637435558
27,L5N1327,20,3.1829738026857375,3.1830178821086883,4.407942295081568e-05
28,L1N253,20,3.1829738026857375,3.1829388797283173,-3.492295742013596e-05
29,L2N1675,20,3.1829738026857375,3.1834768891334533,0.0005030864477157948
30,L3N452,20,3.1829738026857375,3.183243488073349,0.0002696853876114069
31,L1N1060,20,3.1829738026857375,3.1830721920728684,9.838938713091494e-05
32,L0N1183,20,3.1829738026857375,3.1833415073156357,0.0003677046298982134
33,L2N2035,30,3.107443626523018,3.107703422307968,0.00025979578495016753
34,L3N1595,30,3.107443626523018,3.1078452956676483,0.00040166914463046766
35,L0N880,30,3.107443626523018,3.107246621251106,-0.00019700527191179873
36,L0N1,30,3.107443626523018,3.1076857721805573,0.00024214565753943873
37,L1N896,30,3.107443626523018,3.1075555264949797,0.00011189997196181523
38,L5N1327,30,3.107443626523018,3.108036361336708,0.0005927348136900434
39,L1N253,30,3.107443626523018,3.1074320489168166,-1.157760620129622e-05
40,L2N1675,30,3.107443626523018,3.107726152539253,0.00028252601623535156
41,L3N452,30,3.107443626523018,3.107809849381447,0.0003662228584291327
42,L1N1060,30,3.107443626523018,3.1073394054174424,-0.00010422110557550823
43,L0N1183,30,3.107443626523018,3.108065547347069,0.0006219208240509921
44,L2N2035,40,3.0442751747369767,3.044516186118126,0.000241011381149292
45,L3N1595,40,3.0442751747369767,3.0468969422578813,0.0026217675209045943
46,L0N880,40,3.0442751747369767,3.044600254893303,0.00032508015632615184
47,L0N1,40,3.0442751747369767,3.044877431988716,0.0006022572517392355
48,L1N896,40,3.0442751747369767,3.044385157227516,0.00010998249053928433
49,L5N1327,40,3.0442751747369767,3.0447119772434235,0.0004368025064467318
50,L1N253,40,3.0442751747369767,3.0442151510715485,-6.0023665428232675e-05
51,L2N1675,40,3.0442751747369767,3.045226281285286,0.0009511065483094328
52,L3N452,40,3.0442751747369767,3.0449797517061232,0.0007045769691464976
53,L1N1060,40,3.0442751747369767,3.044147753715515,-0.00012742102146168222
54,L0N1183,40,3.0442751747369767,3.044461574554443,0.00018639981746648715
55,L2N2035,50,3.042320596575737,3.042626100182533,0.00030550360679626465
56,L3N1595,50,3.042320596575737,3.046126052737236,0.0038054561614990767
57,L0N880,50,3.042320596575737,3.042991812825203,0.0006712162494659779
58,L0N1,50,3.042320596575737,3.042359277009964,3.868043422716738e-05
59,L1N896,50,3.042320596575737,3.042193956375122,-0.00012664020061503578
60,L5N1327,50,3.042320596575737,3.0432260113954546,0.0009054148197176204
61,L1N253,50,3.042320596575737,3.0423825579881667,6.196141242975628e-05
62,L2N1675,50,3.042320596575737,3.043649496436119,0.0013288998603822044
63,L3N452,50,3.042320596575737,3.042567961215973,0.00024736464023611404
64,L1N1060,50,3.042320596575737,3.042326807975769,6.211400032096748e-06
65,L0N1183,50,3.042320596575737,3.042380807995796,6.021142005918634e-05
66,L2N2035,60,3.0254142689704895,3.025679029226303,0.0002647602558134565
67,L3N1595,60,3.0254142689704895,3.0290970712900163,0.003682802319526779
68,L0N880,60,3.0254142689704895,3.025922464132309,0.0005081951618195468
69,L0N1,60,3.0254142689704895,3.025479685664177,6.541669368731462e-05
70,L1N896,60,3.0254142689704895,3.025371024608612,-4.3244361877636806e-05
71,L5N1327,60,3.0254142689704895,3.0261367624998092,0.0007224935293197454
72,L1N253,60,3.0254142689704895,3.025734796524048,0.0003205275535584917
73,L2N1675,60,3.0254142689704895,3.0269880425930022,0.001573773622512764
74,L3N452,60,3.0254142689704895,3.0261238116025924,0.0007095426321028775
75,L1N1060,60,3.0254142689704895,3.0253019589185715,-0.00011231005191802979
76,L0N1183,60,3.0254142689704895,3.025132580399513,-0.00028168857097643496
77,L2N2035,70,3.006423674225807,3.0067309856414797,0.00030731141567263975
78,L3N1595,70,3.006423674225807,3.0112788182497026,0.00485514402389553
79,L0N880,70,3.006423674225807,3.006587788462639,0.0001641142368318249
80,L0N1,70,3.006423674225807,3.0066392678022384,0.00021559357643141652
81,L1N896,70,3.006423674225807,3.0065484350919722,0.00012476086616519666
82,L5N1327,70,3.006423674225807,3.007418468594551,0.0009947943687440564
83,L1N253,70,3.006423674225807,3.006552875638008,0.00012920141220096326
84,L2N1675,70,3.006423674225807,3.007484714984894,0.001061040759086751
85,L3N452,70,3.006423674225807,3.0068659347295763,0.00044226050376927617
86,L1N1060,70,3.006423674225807,3.006317902803421,-0.0001057714223859918
87,L0N1183,70,3.006423674225807,3.0061899626255038,-0.00023371160030327687
88,L2N2035,80,2.994482991695404,2.9948722422122955,0.0003892505168914262
89,L3N1595,80,2.994482991695404,3.000943228006363,0.006460236310958933
90,L0N880,80,2.994482991695404,2.9946696048974992,0.00018661320209512056
91,L0N1,80,2.994482991695404,2.994764428734779,0.0002814370393751098
92,L1N896,80,2.994482991695404,2.994487965106964,4.973411559916485e-06
93,L5N1327,80,2.994482991695404,2.9947012847661973,0.00021829307079324067
94,L1N253,80,2.994482991695404,2.994612941741943,0.0001299500465390402
95,L2N1675,80,2.994482991695404,2.995085952281952,0.0006029605865478516
96,L3N452,80,2.994482991695404,2.9945552533864976,7.226169109353364e-05
97,L1N1060,80,2.994482991695404,2.994407448768616,-7.554292678824126e-05
98,L0N1183,80,2.994482991695404,2.9945687091350557,8.571743965157808e-05
99,L2N2035,90,3.0362361305952072,3.036790854334831,0.0005547237396239524
100,L3N1595,90,3.0362361305952072,3.043836057782173,0.0075999271869657825
