,Label,Checkpoint,OriginalLoss,AblatedLoss
0,L5N395,0,11.026307892799377,11.026303157806396
1,L3N669,0,11.026307892799377,11.0261905002594
2,L4N1276,0,11.026307892799377,11.026373744010925
3,L5N1655,0,11.026307892799377,11.026392393112182
4,L5N953,0,11.026307892799377,11.026212124824523
5,L5N444,0,11.026307892799377,11.02631760120392
6,L4N45,0,11.026307892799377,11.026306099891663
7,L5N389,0,11.026307892799377,11.026315927505493
8,L5N1599,0,11.026307892799377,11.026275324821473
9,L5N1336,0,11.026307892799377,11.026294932365417
10,L5N1712,0,11.026307892799377,11.026392812728881
11,L5N148,0,11.026307892799377,11.026415476799011
12,L5N1848,0,11.026307892799377,11.026284742355347
13,L5N1225,0,11.026307892799377,11.026296510696412
14,L5N750,0,11.026307892799377,11.026584887504578
15,L3N1542,0,11.026307892799377,11.026370997428893
16,L5N592,0,11.026307892799377,11.02627525806427
17,L5N1638,0,11.026307892799377,11.026231212615967
18,L5N1272,0,11.026307892799377,11.026263699531555
19,L5N1331,0,11.026307892799377,11.02629647731781
20,L5N322,0,11.026307892799377,11.02629454612732
21,L4N482,0,11.026307892799377,11.026382069587708
22,L4N1970,0,11.026307892799377,11.026360654830933
23,L5N725,0,11.026307892799377,11.026344704627991
24,L4N1271,0,11.026307892799377,11.026430778503418
25,L5N264,0,11.026307892799377,11.02628264427185
26,L5N1541,0,11.026307892799377,11.026454286575317
27,L5N432,0,11.026307892799377,11.026316790580749
28,L4N768,0,11.026307892799377,11.026285753250122
29,L5N1369,0,11.026307892799377,11.026320657730103
30,L4N257,0,11.026307892799377,11.026339921951294
31,L5N1453,0,11.026307892799377,11.026371569633485
32,L5N226,0,11.026307892799377,11.026498618125915
33,L5N1199,0,11.026307892799377,11.02636365890503
34,L5N1693,0,11.026307892799377,11.026293087005616
35,L5N1212,0,11.026307892799377,11.02640845298767
36,L4N571,0,11.026307892799377,11.026319417953491
37,L4N2014,0,11.026307892799377,11.026187553405762
38,L5N1787,0,11.026307892799377,11.026406641006469
39,L5N742,0,11.026307892799377,11.026275014877319
40,L4N189,0,11.026307892799377,11.026322975158692
41,L5N943,0,11.026307892799377,11.026141123771668
42,L3N60,0,11.026307892799377,11.026350827217103
43,L5N1086,0,11.026307892799377,11.026340308189392
44,L4N851,0,11.026307892799377,11.026271119117737
45,L4N779,0,11.026307892799377,11.026303219795228
46,L5N1465,0,11.026307892799377,11.02623332977295
47,L5N1436,0,11.026307892799377,11.026206274032592
48,L5N823,0,11.026307892799377,11.026318502426147
49,L5N938,0,11.026307892799377,11.026406321525574
50,L5N395,10,5.917339577674865,5.917663660049438
51,L3N669,10,5.917339577674865,5.918426287174225
52,L4N1276,10,5.917339577674865,5.920165450572967
53,L5N1655,10,5.917339577674865,5.919035110473633
54,L5N953,10,5.917339577674865,5.9180155897140505
55,L5N444,10,5.917339577674865,5.9171520566940305
56,L4N45,10,5.917339577674865,5.92058164358139
57,L5N389,10,5.917339577674865,5.917705001831055
58,L5N1599,10,5.917339577674865,5.9194149398803715
59,L5N1336,10,5.917339577674865,5.917948033809662
60,L5N1712,10,5.917339577674865,5.917756915092468
61,L5N148,10,5.917339577674865,5.917211124897003
62,L5N1848,10,5.917339577674865,5.917289154529572
63,L5N1225,10,5.917339577674865,5.916825737953186
64,L5N750,10,5.917339577674865,5.918223073482514
65,L3N1542,10,5.917339577674865,5.919119606018066
66,L5N592,10,5.917339577674865,5.917243168354035
67,L5N1638,10,5.917339577674865,5.9171781873703
68,L5N1272,10,5.917339577674865,5.917757370471954
69,L5N1331,10,5.917339577674865,5.9180040097236635
70,L5N322,10,5.917339577674865,5.91718977689743
71,L4N482,10,5.917339577674865,5.917229583263397
72,L4N1970,10,5.917339577674865,5.916979510784149
73,L5N725,10,5.917339577674865,5.916776375770569
74,L4N1271,10,5.917339577674865,5.919177076816559
75,L5N264,10,5.917339577674865,5.9175000715255734
76,L5N1541,10,5.917339577674865,5.9174162912368775
77,L5N432,10,5.917339577674865,5.917412164211274
78,L4N768,10,5.917339577674865,5.9172091078758235
79,L5N1369,10,5.917339577674865,5.916489491462707
80,L4N257,10,5.917339577674865,5.916894629001617
81,L5N1453,10,5.917339577674865,5.917169477939606
82,L5N226,10,5.917339577674865,5.917267606258393
83,L5N1199,10,5.917339577674865,5.9172939419746395
84,L5N1693,10,5.917339577674865,5.918035161495209
85,L5N1212,10,5.917339577674865,5.918005404472351
86,L4N571,10,5.917339577674865,5.918256340026855
87,L4N2014,10,5.917339577674865,5.918289918899536
88,L5N1787,10,5.917339577674865,5.918503849506378
89,L5N742,10,5.917339577674865,5.917705001831055
90,L4N189,10,5.917339577674865,5.918438017368317
91,L5N943,10,5.917339577674865,5.9181446361541745
92,L3N60,10,5.917339577674865,5.91752943277359
93,L5N1086,10,5.917339577674865,5.9173746371269225
94,L4N851,10,5.917339577674865,5.9190576553344725
95,L4N779,10,5.917339577674865,5.918710777759552
96,L5N1465,10,5.917339577674865,5.917479734420777
97,L5N1436,10,5.917339577674865,5.917237761020661
98,L5N823,10,5.917339577674865,5.918849151134491
99,L5N938,10,5.917339577674865,5.917532114982605
100,L5N395,20,3.182973816394806,3.2383866810798647
101,L3N669,20,3.182973816394806,3.196320798397064
102,L4N1276,20,3.182973816394806,3.186771709918976
103,L5N1655,20,3.182973816394806,3.1838625609874724
104,L5N953,20,3.182973816394806,3.184345543384552
105,L5N444,20,3.182973816394806,3.1862420690059663
106,L4N45,20,3.182973816394806,3.1851743233203886
107,L5N389,20,3.182973816394806,3.186863198876381
108,L5N1599,20,3.182973816394806,3.1836661875247954
109,L5N1336,20,3.182973816394806,3.1844266563653947
110,L5N1712,20,3.182973816394806,3.1830616199970247
111,L5N148,20,3.182973816394806,3.183012520670891
112,L5N1848,20,3.182973816394806,3.1838199740648268
113,L5N1225,20,3.182973816394806,3.18437848508358
114,L5N750,20,3.182973816394806,3.183448215126991
115,L3N1542,20,3.182973816394806,3.1851110142469405
116,L5N592,20,3.182973816394806,3.183061944246292
117,L5N1638,20,3.182973816394806,3.1829640156030656
118,L5N1272,20,3.182973816394806,3.1847833859920502
119,L5N1331,20,3.182973816394806,3.184036826491356
120,L5N322,20,3.182973816394806,3.182989302277565
121,L4N482,20,3.182973816394806,3.1893522042036055
122,L4N1970,20,3.182973816394806,3.1829562056064606
