FirstToken,Checkpoint,GermanLogit,EnglishLogit,GermanLogitAblated,EnglishLogitAblated
323,37,1.8292591571807861,13.567024230957031,1.8353948593139648,13.569031715393066
359,37,6.891625881195068,14.445045471191406,6.9016289710998535,14.456575393676758
367,37,9.289170265197754,8.233966827392578,9.197933197021484,8.178832054138184
417,37,6.588810443878174,9.545302391052246,6.601318836212158,9.543461799621582
430,37,7.646071434020996,5.873295307159424,7.5873260498046875,5.876826763153076
990,37,4.803309440612793,11.620927810668945,4.814952850341797,11.605508804321289
479,37,7.450765609741211,10.908164024353027,7.445408821105957,10.910191535949707
512,38,7.176376819610596,13.166772842407227,7.20759391784668,13.163476943969727
8215,38,5.019259452819824,9.955544471740723,5.059105396270752,9.954349517822266
4151,38,4.972925662994385,9.190471649169922,4.980128765106201,9.192516326904297
67,38,4.858114242553711,4.977156639099121,4.87178897857666,4.962913990020752
77,38,8.926501274108887,3.426818609237671,8.963410377502441,3.4360275268554688
588,38,3.8295583724975586,14.168740272521973,3.860379695892334,14.177414894104004
594,38,7.5492448806762695,11.317258834838867,7.5478081703186035,11.32295036315918
4200,38,6.431286334991455,10.46904468536377,6.472421169281006,10.469693183898926
659,38,10.51971435546875,8.79646110534668,10.537602424621582,8.763047218322754
717,38,5.149755001068115,9.019009590148926,5.150460720062256,9.033535957336426
246,38,6.864432334899902,6.568674564361572,6.8684563636779785,6.581265449523926
6398,38,6.204922676086426,10.25006103515625,6.256997108459473,10.240431785583496
271,38,3.47428035736084,9.458984375,3.50936222076416,9.456785202026367
275,38,6.335975646972656,12.159379959106445,6.274014472961426,12.15751838684082
285,38,0.8471815586090088,13.102083206176758,0.8874638080596924,13.100183486938477
287,38,5.440510272979736,6.613546371459961,5.4587626457214355,6.621462821960449
309,38,4.0053606033325195,11.93992805480957,4.025524616241455,11.93498706817627
311,38,6.68475341796875,2.1268529891967773,6.701943874359131,2.121713638305664
312,38,3.8477699756622314,1.0203931331634521,3.864030599594116,1.0069681406021118
320,38,5.376852512359619,13.064136505126953,5.351884365081787,13.082539558410645
322,38,6.320338249206543,8.658708572387695,6.339156150817871,8.679253578186035
323,38,3.386842727661133,13.082674026489258,3.380068778991699,13.084993362426758
359,38,6.706533432006836,13.969266891479492,6.709293365478516,13.973834991455078
367,38,8.744121551513672,8.414423942565918,8.715495109558105,8.392987251281738
417,38,5.948587417602539,8.628435134887695,5.935909271240234,8.634121894836426
430,38,6.942424774169922,4.9185919761657715,6.9365458488464355,4.923892498016357
990,38,4.516538619995117,11.723917007446289,4.519549369812012,11.723737716674805
479,38,7.435226917266846,10.787094116210938,7.440493106842041,10.78622817993164
512,39,6.926004409790039,12.154969215393066,6.9469780921936035,12.151640892028809
8215,39,4.8005805015563965,9.810171127319336,4.83966588973999,9.810041427612305
4151,39,4.876657962799072,9.809728622436523,4.870175838470459,9.807439804077148
67,39,5.304080486297607,3.1998813152313232,5.316105842590332,3.1886279582977295
77,39,6.711954593658447,4.409662246704102,6.7373504638671875,4.418282508850098
588,39,4.6120452880859375,13.733083724975586,4.633203983306885,13.735819816589355
594,39,7.3498077392578125,10.971792221069336,7.35184383392334,10.977001190185547
4200,39,6.38621187210083,9.882211685180664,6.425745964050293,9.888327598571777
659,39,11.015993118286133,8.273725509643555,11.033790588378906,8.219430923461914
717,39,5.577051639556885,7.5207929611206055,5.57634973526001,7.533005237579346
246,39,6.121147632598877,5.4436140060424805,6.124238014221191,5.452646255493164
6398,39,5.901646137237549,8.887357711791992,5.949731826782227,8.878910064697266
271,39,3.170551300048828,9.230281829833984,3.2056643962860107,9.227453231811523
275,39,5.619904518127441,11.557723999023438,5.597032070159912,11.557621955871582
285,39,-0.08389616012573242,12.800768852233887,-0.03757009655237198,12.799460411071777
287,39,5.242625713348389,7.547022819519043,5.259139060974121,7.555960655212402
309,39,4.969486236572266,11.690462112426758,4.991526126861572,11.68248176574707
311,39,6.090420246124268,3.1141610145568848,6.108199596405029,3.1128315925598145
312,39,4.076017379760742,0.15739119052886963,4.100500106811523,0.14199697971343994
320,39,4.590389728546143,13.498944282531738,4.580141544342041,13.50704288482666
322,39,6.183835029602051,7.710716247558594,6.1976728439331055,7.725680351257324
323,39,2.1577951908111572,12.693833351135254,2.1361775398254395,12.696499824523926
359,39,7.136907577514648,14.654096603393555,7.145124435424805,14.666496276855469
367,39,8.813870429992676,7.451480388641357,8.836039543151855,7.464927673339844
417,39,3.4913694858551025,9.572004318237305,3.4872965812683105,9.573848724365234
430,39,6.893350124359131,5.52754020690918,6.883954048156738,5.5312981605529785
990,39,4.853588104248047,11.98880672454834,4.858691692352295,11.987030029296875
479,39,7.62599515914917,10.387681007385254,7.633061408996582,10.387733459472656
512,40,6.592209815979004,11.542791366577148,6.624180316925049,11.537239074707031
8215,40,4.834650993347168,10.117594718933105,4.888959884643555,10.115629196166992
4151,40,5.343777656555176,8.709908485412598,5.35029935836792,8.710652351379395
67,40,5.668188571929932,4.190459728240967,5.681628704071045,4.1754231452941895
77,40,7.6988372802734375,2.7997021675109863,7.719365119934082,2.806326389312744
588,40,4.019043445587158,13.795354843139648,4.035036087036133,13.798452377319336
594,40,7.215371131896973,10.619606018066406,7.216314315795898,10.625449180603027
4200,40,6.592710494995117,9.576398849487305,6.610841274261475,9.58085823059082
659,40,11.093032836914062,9.261317253112793,11.11355972290039,9.231236457824707
717,40,5.78394889831543,7.997716426849365,5.787491321563721,8.005640029907227
246,40,7.113615989685059,5.052221298217773,7.114338397979736,5.059688091278076
6398,40,7.350654602050781,9.39427661895752,7.408058166503906,9.383575439453125
271,40,3.0258424282073975,9.522332191467285,3.064725399017334,9.519701957702637
275,40,5.996756553649902,11.170795440673828,5.9326982498168945,11.172578811645508
285,40,2.21658992767334,14.072425842285156,2.276780128479004,14.067560195922852
287,40,4.678661346435547,7.433382034301758,4.7029876708984375,7.442042350769043
309,40,5.486745834350586,10.980371475219727,5.519001007080078,10.971397399902344
311,40,6.032126426696777,3.280319929122925,6.055215835571289,3.2782535552978516
312,40,3.5034897327423096,1.4378583431243896,3.5264267921447754,1.4177850484848022
320,40,4.6213226318359375,13.668691635131836,4.606044292449951,13.679186820983887
322,40,6.711967468261719,8.201144218444824,6.726846694946289,8.21335506439209
323,40,2.4033923149108887,12.700199127197266,2.390376567840576,12.704490661621094
