,orschlägen, häufig, beweglich
NNN,10.12,14.77,14.79
NNY,9.71,13.7,14.27
NYN,3.62,10.38,9.35
YNN,10.88,12.44,13.7
NYY,3.87,8.74,7.99
YNY,10.36,11.24,13.28
YYN,3.21,1.2,7.78
YYY,2.0,0.2,5.56
Fix Current,1.46,-0.64,0.86
Fix Previous,0.69,-0.21,1.8
Fix Context,2.52,6.07,1.44
Single Feature,1.97,6.79,2.18
Two Features,1.66,3.0,1.57
