,Label,Checkpoint,OriginalLoss,AblatedLoss,AblationIncrease
0,L5N395,0,11.051213431358338,11.051211385726928,-2.0456314100414374e-06
1,L3N669,0,11.051213431358338,11.051181497573852,-3.1933784486071204e-05
2,L4N1276,0,11.051213431358338,11.051344065666198,0.0001306343078599781
3,L5N1655,0,11.051213431358338,11.05120620250702,-7.228851318430429e-06
4,L5N444,0,11.051213431358338,11.051215372085572,1.9407272340288273e-06
5,L4N45,0,11.051213431358338,11.051215405464172,1.9741058334687978e-06
6,L5N389,0,11.051213431358338,11.051168513298034,-4.491806030415546e-05
7,L5N1599,0,11.051213431358338,11.051344456672668,0.00013102531432984676
8,L5N1336,0,11.051213431358338,11.051182050704956,-3.1380653382484525e-05
9,L5N1712,0,11.051213431358338,11.051177883148194,-3.554821014439824e-05
10,L5N1225,0,11.051213431358338,11.051272139549255,5.870819091668977e-05
11,L3N1542,0,11.051213431358338,11.051159329414368,-5.410194397015289e-05
12,L5N592,0,11.051213431358338,11.051238846778869,2.5415420530805477e-05
13,L5N1638,0,11.051213431358338,11.051178250312805,-3.5181045532795e-05
14,L5N1272,0,11.051213431358338,11.051117496490479,-9.593486785952621e-05
15,L5N1331,0,11.051213431358338,11.051217579841614,4.148483276011916e-06
16,L4N482,0,11.051213431358338,11.051411347389221,0.00019791603088314957
17,L5N725,0,11.051213431358338,11.05116403579712,-4.9395561218190664e-05
18,L5N395,10,5.226138241291046,5.227338292598724,0.001200051307677974
19,L3N669,10,5.226138241291046,5.226119542121888,-1.8699169158864493e-05
20,L4N1276,10,5.226138241291046,5.228126058578491,0.001987817287444571
21,L5N1655,10,5.226138241291046,5.225781614780426,-0.0003566265106202948
22,L5N444,10,5.226138241291046,5.226057960987091,-8.028030395568209e-05
23,L4N45,10,5.226138241291046,5.2250555539131165,-0.0010826873779299362
24,L5N389,10,5.226138241291046,5.226204607486725,6.636619567856883e-05
25,L5N1599,10,5.226138241291046,5.227246594429016,0.0011083531379698641
26,L5N1336,10,5.226138241291046,5.226572344303131,0.00043410301208446356
27,L5N1712,10,5.226138241291046,5.22575156211853,-0.0003866791725162244
28,L5N1225,10,5.226138241291046,5.227320010662079,0.0011817693710325372
29,L3N1542,10,5.226138241291046,5.2284081935882565,0.002269952297210054
30,L5N592,10,5.226138241291046,5.226026301383972,-0.00011193990707436541
31,L5N1638,10,5.226138241291046,5.22565928697586,-0.00047895431518618636
32,L5N1272,10,5.226138241291046,5.226071655750275,-6.658554077176859e-05
33,L5N1331,10,5.226138241291046,5.2267746758461,0.0006364345550533557
34,L4N482,10,5.226138241291046,5.2261894726753235,5.123138427709506e-05
35,L5N725,10,5.226138241291046,5.22644868850708,0.00031044721603379344
36,L5N395,20,3.59900364279747,3.6791092294454573,0.08010558664798717
37,L3N669,20,3.59900364279747,3.60812622487545,0.009122582077980113
38,L4N1276,20,3.59900364279747,3.6011711913347244,0.0021675485372543157
39,L5N1655,20,3.59900364279747,3.5994555062055587,0.00045186340808855974
40,L5N444,20,3.59900364279747,3.60081500351429,0.0018113607168199763
41,L4N45,20,3.59900364279747,3.600948576927185,0.0019449341297148592
42,L5N389,20,3.59900364279747,3.600610232949257,0.0016065901517867687
43,L5N1599,20,3.59900364279747,3.598881644010544,-0.0001219987869260919
44,L5N1336,20,3.59900364279747,3.601237125992775,0.0022334831953050305
45,L5N1712,20,3.59900364279747,3.599054586291313,5.0943493842936505e-05
46,L5N1225,20,3.59900364279747,3.5991012984514237,9.765565395358777e-05
47,L3N1542,20,3.59900364279747,3.5998313331604006,0.000827690362930511
48,L5N592,20,3.59900364279747,3.599008731842041,5.089044571082724e-06
49,L5N1638,20,3.59900364279747,3.599033002257347,2.9359459877031924e-05
50,L5N1272,20,3.59900364279747,3.5985651606321336,-0.00043848216533648454
51,L5N1331,20,3.59900364279747,3.59890853703022,-9.510576725002551e-05
52,L4N482,20,3.59900364279747,3.6016949790716173,0.0026913362741471936
53,L5N725,20,3.59900364279747,3.5991720932722093,0.00016845047473923458
54,L5N395,30,3.526360344290733,3.636846185922623,0.11048584163188968
55,L3N669,30,3.526360344290733,3.5511415255069734,0.024781181216240178
56,L4N1276,30,3.526360344290733,3.5294867861270904,0.003126441836357241
57,L5N1655,30,3.526360344290733,3.526360605955124,2.61664390599492e-07
58,L5N444,30,3.526360344290733,3.5283074671030046,0.0019471228122713846
59,L4N45,30,3.526360344290733,3.527162059545517,0.0008017152547838968
60,L5N389,30,3.526360344290733,3.528697379231453,0.0023370349407199065
61,L5N1599,30,3.526360344290733,3.5264418655633927,8.15212726594794e-05
62,L5N1336,30,3.526360344290733,3.5281170123815535,0.0017566680908203125
63,L5N1712,30,3.526360344290733,3.5263128077983854,-4.753649234778834e-05
64,L5N1225,30,3.526360344290733,3.526259067058563,-0.00010127723217001616
65,L3N1542,30,3.526360344290733,3.5272951066493987,0.0009347623586655196
66,L5N592,30,3.526360344290733,3.526404964327812,4.462003707894624e-05
67,L5N1638,30,3.526360344290733,3.526669034361839,0.0003086900711060103
68,L5N1272,30,3.526360344290733,3.5266467189788817,0.0002863746881485163
69,L5N1331,30,3.526360344290733,3.526322538256645,-3.780603408820582e-05
70,L4N482,30,3.526360344290733,3.5296374106407167,0.003277066349983482
71,L5N725,30,3.526360344290733,3.526416969895363,5.6625604629712e-05
72,L5N395,40,3.511368577480316,3.6126873975992204,0.10131882011890436
73,L3N669,40,3.511368577480316,3.5706252241134644,0.059256646633148335
74,L4N1276,40,3.511368577480316,3.513829551935196,0.002460974454880027
75,L5N1655,40,3.511368577480316,3.511340752840042,-2.7824640274065615e-05
