,orschlägen, häufig, beweglich
NNN,11.91,7.35,7.4
NNY,12.06,8.15,7.64
NYN,21.96,11.55,16.96
YNN,11.73,9.53,8.38
NYY,21.61,12.75,17.1
YNY,11.86,10.5,8.67
YYN,33.69,25.17,21.03
YYY,31.05,27.05,21.07
Fix Current,-2.28,0.68,-0.1
Fix Previous,-2.77,0.91,-0.25
Fix Context,9.64,11.96,2.95
Single Feature,9.11,12.52,2.87
Two Features,3.43,6.52,1.37
Merge Tokens,-2.79,1.08,-0.21
