,orschlägen, häufig, beweglich
NNN,11.98,7.29,7.45
NNY,12.13,8.09,7.69
NYN,22.08,11.67,16.87
YNN,11.76,9.71,8.29
NYY,21.69,12.86,17.0
YNY,11.88,10.66,8.56
YYN,33.66,25.17,21.16
YYY,31.04,27.01,21.16
Fix Current,-2.23,0.64,-0.14
Fix Previous,-2.74,0.88,-0.27
Fix Context,9.6,11.57,3.29
Single Feature,9.02,12.12,3.2
Two Features,3.41,6.3,1.52
Merge Tokens,-2.77,1.04,-0.25
