,orschlägen, häufig, beweglich
NNN,11.95,7.23,7.37
NNY,12.07,8.02,7.6
NYN,22.15,11.55,16.93
YNN,11.88,9.51,8.5
NYY,21.76,12.77,17.06
YNY,12.01,10.48,8.78
YYN,33.84,25.3,21.03
YYY,31.21,27.13,21.06
Fix Current,-2.24,0.62,-0.11
Fix Previous,-2.76,0.86,-0.25
Fix Context,9.51,11.91,2.82
Single Feature,8.99,12.49,2.77
Two Features,3.38,6.47,1.31
