,orschlägen, häufig, beweglich
NNN,10.22,14.68,14.67
NNY,9.8,13.66,14.14
NYN,3.6,10.37,9.25
YNN,10.9,12.57,14.0
NYY,3.85,8.71,7.93
YNY,10.36,11.34,13.56
YYN,3.38,1.24,7.72
YYY,2.1,0.21,5.51
Fix Current,1.53,-0.63,0.88
Fix Previous,0.75,-0.2,1.76
Fix Context,2.31,6.17,1.84
Single Feature,1.78,7.04,2.55
Two Features,1.59,3.1,1.76
