,orschlägen, häufig, beweglich
NNN,11.61,7.31,7.39
NNY,11.74,8.11,7.62
NYN,22.01,11.42,16.73
YNN,11.58,9.41,8.32
NYY,21.61,12.63,16.87
YNY,11.7,10.37,8.6
YYN,33.84,25.3,21.03
YYY,31.21,27.13,21.06
Fix Current,-2.23,0.62,-0.11
Fix Previous,-2.75,0.87,-0.25
Fix Context,9.64,12.23,3.21
Single Feature,9.1,12.81,3.16
Two Features,3.44,6.63,1.5
