,orschlägen, häufig, beweglich
NNN,10.05,14.73,14.68
NNY,9.65,13.68,14.15
NYN,3.6,10.33,9.28
YNN,10.86,12.41,13.86
NYY,3.85,8.68,7.98
YNY,10.34,11.22,13.39
YYN,3.33,1.19,7.76
YYY,2.09,0.21,5.54
Fix Current,1.5,-0.67,0.92
Fix Previous,0.72,-0.21,1.75
Fix Context,2.46,6.01,1.69
Single Feature,1.91,6.75,2.39
Two Features,1.65,2.97,1.69
Merge Tokens,0.83,-0.07,1.69
