,orschlägen, häufig, beweglich
NNN,11.9,7.29,7.13
NNY,12.05,8.12,7.4
NYN,22.07,11.52,16.84
YNN,11.96,9.35,8.4
NYY,21.68,12.72,16.98
YNY,12.07,10.31,8.68
YYN,33.84,25.3,21.03
YYY,31.21,27.13,21.06
Fix Current,-2.24,0.63,-0.11
Fix Previous,-2.74,0.87,-0.25
Fix Context,9.51,12.22,2.79
Single Feature,8.91,12.73,2.68
Two Features,3.36,6.61,1.28
Merge Tokens,-2.79,1.01,-0.24
