,orschlägen, häufig, beweglich
NNN,10.03,14.66,14.85
NNY,9.63,13.59,14.31
NYN,3.61,10.3,9.24
YNN,10.9,12.62,13.91
NYY,3.85,8.69,7.94
YNY,10.36,11.41,13.44
YYN,3.33,1.19,7.76
YYY,2.09,0.21,5.54
Fix Current,1.48,-0.63,0.92
Fix Previous,0.7,-0.23,1.76
Fix Context,2.5,6.3,1.54
Single Feature,1.99,6.98,2.22
Two Features,1.67,3.11,1.61
