,L0 direction,L1 direction,Original loss,L0 direction ablation loss,L1 direction ablation loss,Cosine similarity,L1 activation,L1 activation after ablation
54,13908,3118,0.6445508749224246,0.9900867776246741,0.7348513484699651,0.3900619447231293,3.625520944595337,2.657710039615631
55,13663,8737,0.7976842283736915,1.1251050582155586,1.2731388938147574,0.38989782333374023,6.1543505668640135,3.226877236366272
56,8186,3846,1.7716772243380547,1.6018684417009355,1.6163346007466317,0.38985908031463623,7.243187713623047,6.8950855255126955
57,6820,3235,1.7621353439986707,2.794073149561882,2.328584954701364,0.38953840732574463,3.5276510238647463,1.057751551270485
58,16379,3308,2.106522100046277,2.358619149774313,2.3553434016183017,0.38932380080223083,2.9984880924224853,2.154530954360962
59,3097,2169,0.9415449522435665,3.126301372051239,1.2333125919103622,0.38784724473953247,6.507237148284912,1.8157011985778808
60,12155,5906,0.06082822942407802,1.2095694370567798,0.14799554946366697,0.3877096474170685,6.073735618591309,3.1138394832611085
61,6914,1533,0.004307932814117521,4.196391028165817,0.030457273370120674,0.3873528838157654,5.7596314430236815,2.1838967144489287
62,15117,12405,0.22980533316585933,2.166712599992752,0.6082202559686266,0.3868888318538666,4.023443698883057,1.3948317885398864
63,12938,1928,2.3048141583800317,4.102383758127689,3.2318911124020815,0.3867751955986023,6.447059869766235,3.984458637237549
64,9073,4022,0.5783652823418379,3.793288940191269,1.4435675874352456,0.38552048802375793,4.791792011260986,2.7059860229492188
65,5297,1222,0.6687965463846922,2.9451637893915175,1.5866364907473325,0.38440799713134766,8.655357789993285,4.077276515960693
66,12531,9037,0.6309722291305662,2.119686985388398,0.8926501849666237,0.38383930921554565,3.951267671585083,1.687903928756714
67,8927,4437,0.5184675885364414,1.7198131173849105,0.7093493655323982,0.3821275532245636,7.030404901504516,3.2123137712478638
68,9723,3118,2.9543603390455244,3.782197991013527,3.2553939521312714,0.3820660710334778,4.790518760681152,2.1046711802482605
69,11462,7802,0.863372515141964,5.612213045358658,1.3149261832237245,0.3815278112888336,9.437872791290284,1.6899860382080079
70,12132,5717,4.003806484433881e-05,7.802474021911621,0.007044858229346573,0.38122856616973877,8.50138030052185,1.9419962823390962
71,16177,12419,1.219225811958313,3.609050875902176,1.9270198225975037,0.3810414969921112,4.721765661239624,2.6868693351745607
72,11960,4398,0.0005892962302823434,4.551342868804932,0.05827932050451636,0.3802480399608612,7.624838590621948,2.8463546991348267
73,13226,5739,1.9285626761615275,2.6494135819375515,2.0775005139410494,0.3798024356365204,4.869691371917725,2.9643184661865236
74,15967,15354,0.7653998255729675,2.6309456527233124,0.7183269113302231,0.3794354200363159,4.7178901672363285,2.0092278361320495
75,12319,3902,0.6146590895950794,3.6562116146087646,0.4819373324513435,0.3788231611251831,4.6328747272491455,1.6219283759593963
76,6828,5309,0.7873180366830639,1.2494494408369063,0.5906510509550571,0.3775234818458557,9.779692935943604,4.8640789031982425
77,16006,11617,0.00972064018715173,0.2006902853026986,0.023727065708953887,0.3767865002155304,6.40375247001648,4.894987297058106
78,14457,11304,3.2736880034208298,5.7644665241241455,3.1862007468938827,0.37634822726249695,5.319750547409058,1.5575113236904143
79,7075,2036,0.731228979176376,1.7268033953383566,0.9345998151227832,0.3760470747947693,4.189155960083008,2.124503266811371
80,10946,2981,0.49765948858112097,0.7145829342305661,0.5465865654405206,0.37591350078582764,3.5839035272598267,2.442672085762024
81,10229,3061,0.010230837726703612,0.632442144677043,0.04686958206875715,0.3758067488670349,4.392025828361511,2.924235427379608
82,16351,15852,0.793451277539134,1.1400716286152601,0.7851636338979006,0.3746654689311981,3.5278932809829713,3.4323861598968506
83,13651,10289,0.00021662673389073462,0.3614968449808657,0.004191773885395378,0.3743748068809509,8.694676637649536,5.708111381530761
84,15800,7775,0.8017665818333626,3.46654147580266,0.675907883187756,0.37436559796333313,7.213033008575439,1.9356448590755462
85,13542,6629,0.05564419818110764,1.3682586029171944,0.17443186268210412,0.37402960658073425,7.599965238571167,2.0543018102645876
86,7020,3117,0.7496866886038334,1.1288521200418473,0.6641373201273382,0.37356334924697876,0.06358409821987152,0.256771057844162
87,13544,2762,1.333385016117245,4.434478949010372,3.247006022930145,0.37291842699050903,10.237743091583251,4.698829007148743
88,5720,2042,0.9099423630628735,1.0986116535961628,1.354447287134826,0.3720833659172058,4.247219681739807,3.3194901943206787
89,3338,1687,0.9983017962425947,1.6244138725101949,1.0694044068455697,0.3716491162776947,3.1618417263031007,1.7291848063468933
90,7915,2531,0.9465841884259134,2.0537797464989125,0.8709942345507443,0.37013307213783264,5.317134141921997,1.831117582321167
91,15387,4673,2.663326616678387,3.436341831088066,2.8734080258756878,0.37001192569732666,6.648121404647827,3.672552561759949
92,12482,5016,0.06090424971953325,1.8609125852584838,0.030445417975715827,0.36968326568603516,4.019297409057617,1.599762761592865
93,6045,400,0.9310990307480097,2.202550341188908,1.0118931360542773,0.3696196675300598,4.2681474685668945,2.104010045528412
94,8122,4780,1.513967270962894,1.9719087332487106,1.602964293025434,0.36950671672821045,6.630216312408447,5.5429394245147705
95,11728,4797,2.287884610891342,3.6849274396896363,2.8293702721595766,0.36949941515922546,8.066096019744872,3.7771082162857055
96,3041,576,0.13629829396959395,1.8760764986276626,0.267416606284678,0.36946287751197815,3.947584080696106,1.301054584980011
97,13360,8651,0.48989690504968164,0.9614665439352393,0.6281395193189383,0.3684145212173462,4.8859827518463135,2.795001137256622
98,4170,2874,0.0011817295030141395,4.837213981151581,0.2859390452387743,0.3678118884563446,8.922682571411134,1.8395137190818787
99,15576,8516,0.0021140066237421706,1.8442810788750648,0.014849820546805859,0.3676864504814148,6.666906213760376,2.3162408828735352
100,8941,7519,1.4379581926390528,2.4895049333572388,2.2555273443460466,0.36751800775527954,5.147257709503174,2.879230260848999
101,8163,4377,0.26434246809221806,2.3656490087509154,0.6757509935647249,0.36748000979423523,5.957602405548096,3.663143682479858
102,2542,1127,1.582992386817932,2.9679269867017863,1.7673993019852787,0.36727407574653625,5.840215158462525,3.5944686055183412
103,13023,400,0.4153582027181983,1.1949130848050118,0.5735851670615375,0.3667386770248413,3.134383773803711,1.4321293830871582
104,15702,9096,0.5779560983181,1.3964861169457436,0.6557332053780556,0.36639878153800964,6.480913734436035,3.6424904108047484
105,7872,3120,0.8387113796547055,1.2903310462832451,0.7491595185361802,0.3656105101108551,4.7774632453918455,1.6509945571422577
