Checkpoint,Trigram,Original Loss,Ablated Loss,Direct Effect Loss,Indirect Effect Loss
0,en verwend,11.514302253723145,11.50940990447998,11.513307571411133,11.510407447814941
0,ptabel und,11.420682907104492,11.421862602233887,11.421335220336914,11.421210289001465
0,re Beacht,10.743017196655273,10.750110626220703,10.74789810180664,10.7452392578125
0, empfunden,10.395553588867188,10.398058891296387,10.397292137145996,10.396320343017578
0, Amtszeit,10.064041137695312,10.063838005065918,10.061720848083496,10.06615924835205
0,eltfreund,11.005521774291992,11.002992630004883,11.005393028259277,11.003121376037598
0,chte Verwend,11.463295936584473,11.458161354064941,11.46206283569336,11.459394454956055
0,fang der,10.732880592346191,10.7347993850708,10.729907035827637,10.737771034240723
0, vorsät,11.026837348937988,11.02975082397461,11.028749465942383,11.027837753295898
0, zur Verwend,11.419618606567383,11.41412353515625,11.418087005615234,11.415656089782715
0, Die nacht,11.078977584838867,11.078963279724121,11.079484939575195,11.078455924987793
0,en verdienen,10.794886589050293,10.79452133178711,10.794330596923828,10.79507827758789
0,er Verträ,12.19311237335205,12.193329811096191,12.193351745605469,12.193090438842773
0,lich befür,11.540060997009277,11.543183326721191,11.539189338684082,11.544055938720703
0,änkt die,11.178398132324219,11.179800987243652,11.1788330078125,11.179365158081055
0,iner geänder,10.711746215820312,10.712246894836426,10.713984489440918,10.710010528564453
0,lag für einen,9.979867935180664,9.976824760437012,9.980080604553223,9.976614952087402
0, den Unfall,10.759025573730469,10.758726119995117,10.759028434753418,10.7587251663208
0,te verwend,11.501493453979492,11.49705696105957,11.500784873962402,11.49776554107666
0,itsstät,11.300046920776367,11.302127838134766,11.30151081085205,11.300663948059082
0,ertschät,12.332680702209473,12.329378128051758,12.330568313598633,12.331491470336914
0,inn gemacht,11.046361923217773,11.046093940734863,11.046499252319336,11.0459566116333
0,re Verträ,12.215436935424805,12.215694427490234,12.215517044067383,12.215612411499023
0,lich gemacht,10.982515335083008,10.982277870178223,10.982697486877441,10.982094764709473
0,ür heute,11.4210205078125,11.420905113220215,11.42092227935791,11.421003341674805
0,atz befür,11.484448432922363,11.489832878112793,11.483966827392578,11.490315437316895
0,ßen missacht,11.667469024658203,11.668100357055664,11.66881275177002,11.666757583618164
0, Akteuren,10.471975326538086,10.47139835357666,10.471613883972168,10.471759796142578
0, überwacht,10.473122596740723,10.473036766052246,10.473050117492676,10.47311019897461
0,wissheit,12.20224380493164,12.198615074157715,12.202924728393555,12.1979341506958
0, hinwe,11.142430305480957,11.145992279052734,11.143468856811523,11.144953727722168
0,mgang der,10.728198051452637,10.730090141296387,10.724997520446777,10.733290672302246
0,dern sie die,10.607710838317871,10.621260643005371,10.608785629272461,10.620190620422363
0, Einsät,11.812758445739746,11.815957069396973,11.814960479736328,11.813752174377441
0,le gestär,10.846955299377441,10.853860855102539,10.849379539489746,10.85143756866455
0, übermitteln,11.78860092163086,11.783187866210938,11.7894287109375,11.78236198425293
0,chts gemacht,11.05335521697998,11.053080558776855,11.053479194641113,11.052956581115723
0,glich gemacht,11.035649299621582,11.03541088104248,11.035840034484863,11.035221099853516
0,iter gestär,10.925642013549805,10.932657241821289,10.928170204162598,10.930129051208496
0, November verwe,11.0869722366333,11.085254669189453,11.086368560791016,11.085858345031738
0,ich veränder,11.907686233520508,11.904682159423828,11.90700912475586,11.90536117553711
0, der Verträ,12.238700866699219,12.23885726928711,12.238987922668457,12.238569259643555
0, und gestär,10.90008544921875,10.906827926635742,10.902358055114746,10.904558181762695
0, Eigen gemacht,11.0250825881958,11.025046348571777,11.025373458862305,11.024755477905273
0,fskrä,11.900849342346191,11.903385162353516,11.90029239654541,11.903940200805664
0,ung nacht,11.147018432617188,11.147028923034668,11.147566795349121,11.146479606628418
0, zur Einricht,9.994816780090332,9.992791175842285,9.996282577514648,9.991328239440918
0, zur Erricht,10.915729522705078,10.914023399353027,10.916749000549316,10.913004875183105
0,gestellt worden,11.844369888305664,11.8439302444458,11.843920707702637,11.844379425048828
0, und Anwend,11.954018592834473,11.953569412231445,11.953736305236816,11.953852653503418
0,enig beacht,11.563495635986328,11.564278602600098,11.564858436584473,11.562915802001953
0,t worden und,11.819284439086914,11.818655967712402,11.819110870361328,11.818830490112305
0,terschät,11.646430015563965,11.646065711975098,11.646214485168457,11.646281242370605
0, von Verträ,12.173906326293945,12.173749923706055,12.174091339111328,12.173563003540039
0, der nacht,11.174701690673828,11.174667358398438,11.175206184387207,11.174161911010742
0, nicht schwe,10.95888614654541,10.957807540893555,10.95895004272461,10.957742691040039
0,ischen all dies,11.624364852905273,11.62349796295166,11.623411178588867,11.624451637268066
0, der Einricht,10.06825065612793,10.066099166870117,10.069599151611328,10.064751625061035
0,azu verpf,10.882455825805664,10.893463134765625,10.884801864624023,10.891115188598633
0, System verwend,11.44791030883789,11.443110466003418,11.447013854980469,11.44400691986084
0,chtsakt zu,10.505338668823242,10.510635375976562,10.512251853942871,10.5037202835083
0, wir all dies,11.636780738830566,11.636053085327148,11.635974884033203,11.636858940124512
0,re Binnen,11.738265991210938,11.737195014953613,11.737200736999512,11.738259315490723
0,che Wirkl,11.146459579467773,11.14997673034668,11.145477294921875,11.150959014892578
0, zu verschär,10.843039512634277,10.849401473999023,10.84494686126709,10.847492218017578
0, anspricht,10.897576332092285,10.897195816040039,10.898191452026367,10.896580696105957
0,beitswe,10.375885009765625,10.379096031188965,10.378013610839844,10.376967430114746
0,iger verdienen,10.785548210144043,10.785361289978027,10.785309791564941,10.785598754882812
0,ter gemacht,11.041264533996582,11.041193962097168,11.041540145874023,11.04091739654541
