FirstToken,Checkpoint,GermanLogprob,EnglishLogprob,GermanLogprobAblated,EnglishLogprobAblated
417,3,-11.239986419677734,-9.956578254699707,-11.244997024536133,-9.955243110656738
430,3,-10.974104881286621,-10.507616996765137,-10.975820541381836,-10.510214805603027
990,3,-9.996631622314453,-11.274066925048828,-9.998882293701172,-11.272204399108887
479,3,-10.737796783447266,-11.254218101501465,-10.743558883666992,-11.259451866149902
512,4,-11.657232284545898,-10.389246940612793,-11.653970718383789,-10.388655662536621
8215,4,-11.075410842895508,-11.22164535522461,-11.069523811340332,-11.223285675048828
4151,4,-11.107962608337402,-10.491207122802734,-11.111154556274414,-10.479743003845215
67,4,-11.748621940612793,-10.54941177368164,-11.748781204223633,-10.552221298217773
77,4,-10.606586456298828,-10.246328353881836,-10.603536605834961,-10.246036529541016
588,4,-11.187644004821777,-10.603543281555176,-11.188857078552246,-10.603883743286133
594,4,-10.71493148803711,-11.321752548217773,-10.702072143554688,-11.324103355407715
4200,4,-11.30010986328125,-11.56694507598877,-11.295735359191895,-11.570923805236816
659,4,-10.523111343383789,-11.220487594604492,-10.52320384979248,-11.219836235046387
717,4,-10.393046379089355,-10.874013900756836,-10.39780044555664,-10.8859224319458
246,4,-11.36709213256836,-11.522439956665039,-11.365694046020508,-11.52734375
6398,4,-11.88451862335205,-10.606159210205078,-11.878369331359863,-10.604877471923828
271,4,-10.5938081741333,-10.950871467590332,-10.590517044067383,-10.951882362365723
275,4,-11.469700813293457,-10.17540168762207,-11.471510887145996,-10.173406600952148
285,4,-10.542102813720703,-10.723689079284668,-10.543413162231445,-10.722726821899414
287,4,-12.584203720092773,-10.962042808532715,-12.580904006958008,-10.965333938598633
309,4,-10.988019943237305,-10.719922065734863,-10.993404388427734,-10.713847160339355
311,4,-11.424904823303223,-11.465141296386719,-11.426122665405273,-11.466745376586914
312,4,-10.89822006225586,-9.367280006408691,-10.896645545959473,-9.367286682128906
320,4,-11.312520027160645,-10.433588981628418,-11.312024116516113,-10.43471622467041
322,4,-9.577784538269043,-10.839322090148926,-9.578892707824707,-10.839622497558594
323,4,-11.334953308105469,-10.33944034576416,-11.335777282714844,-10.338541984558105
359,4,-11.1545991897583,-12.240480422973633,-11.154157638549805,-12.239766120910645
367,4,-11.22556209564209,-11.161516189575195,-11.22619342803955,-11.161657333374023
417,4,-11.200671195983887,-9.944673538208008,-11.205187797546387,-9.94357967376709
430,4,-10.837186813354492,-10.648721694946289,-10.838947296142578,-10.651264190673828
990,4,-10.038321495056152,-11.086787223815918,-10.040534973144531,-11.085022926330566
479,4,-10.751043319702148,-11.115165710449219,-10.75650405883789,-11.11987018585205
512,5,-11.392462730407715,-9.022310256958008,-11.391422271728516,-9.022212982177734
8215,5,-10.949210166931152,-11.082267761230469,-10.946638107299805,-11.083051681518555
4151,5,-11.251654624938965,-10.216740608215332,-11.25383472442627,-10.210189819335938
67,5,-11.601409912109375,-10.595779418945312,-11.601253509521484,-10.595809936523438
77,5,-10.59927749633789,-10.302736282348633,-10.596632957458496,-10.302289009094238
588,5,-11.163095474243164,-10.554723739624023,-11.164020538330078,-10.555888175964355
594,5,-10.703765869140625,-11.242620468139648,-10.696256637573242,-11.242785453796387
4200,5,-11.178342819213867,-11.89620304107666,-11.177608489990234,-11.897112846374512
659,5,-10.77869987487793,-11.48507022857666,-10.778773307800293,-11.484697341918945
717,5,-10.604514122009277,-10.852007865905762,-10.606825828552246,-10.857614517211914
246,5,-11.407899856567383,-11.803163528442383,-11.40697193145752,-11.805076599121094
6398,5,-11.654175758361816,-9.960074424743652,-11.651725769042969,-9.9598388671875
271,5,-10.162543296813965,-10.715746879577637,-10.160840034484863,-10.71595287322998
275,5,-11.754836082458496,-8.398138046264648,-11.7561616897583,-8.39695930480957
285,5,-10.693721771240234,-9.2473726272583,-10.694705963134766,-9.246688842773438
287,5,-12.369108200073242,-10.80960750579834,-12.367297172546387,-10.811471939086914
309,5,-10.579256057739258,-10.595586776733398,-10.58392333984375,-10.59048843383789
311,5,-11.143288612365723,-11.319881439208984,-11.143913269042969,-11.321891784667969
312,5,-10.896111488342285,-9.063746452331543,-10.89505672454834,-9.063602447509766
320,5,-11.418649673461914,-9.910533905029297,-11.418235778808594,-9.9114990234375
322,5,-9.955476760864258,-10.701608657836914,-9.95564079284668,-10.701544761657715
323,5,-11.544071197509766,-8.857104301452637,-11.543413162231445,-8.856664657592773
359,5,-11.365299224853516,-12.394872665405273,-11.364355087280273,-12.394222259521484
367,5,-11.506052017211914,-11.13234806060791,-11.506900787353516,-11.132826805114746
417,5,-10.998231887817383,-9.985079765319824,-11.000289916992188,-9.984858512878418
430,5,-10.630414962768555,-10.850568771362305,-10.631770133972168,-10.85245418548584
990,5,-10.341889381408691,-10.416670799255371,-10.342790603637695,-10.416166305541992
479,5,-10.88155746459961,-10.464421272277832,-10.88468074798584,-10.466864585876465
512,6,-10.216852188110352,-6.255521297454834,-10.21722412109375,-6.255302429199219
8215,6,-10.76729965209961,-10.697022438049316,-10.76797103881836,-10.696733474731445
4151,6,-11.488950729370117,-10.174907684326172,-11.489315032958984,-10.174273490905762
67,6,-10.627058029174805,-10.41572380065918,-10.626739501953125,-10.414557456970215
77,6,-10.420267105102539,-10.530397415161133,-10.418954849243164,-10.52996826171875
588,6,-10.79439926147461,-11.030302047729492,-10.794862747192383,-11.031323432922363
594,6,-10.03002643585205,-10.658294677734375,-10.029536247253418,-10.658023834228516
4200,6,-10.92028522491455,-11.72170639038086,-10.92098617553711,-11.720948219299316
659,6,-11.482242584228516,-11.274223327636719,-11.48232650756836,-11.274003982543945
717,6,-10.899799346923828,-10.89816665649414,-10.899479866027832,-10.897247314453125
246,6,-11.329472541809082,-12.057990074157715,-11.329596519470215,-12.056623458862305
6398,6,-11.060722351074219,-8.464898109436035,-11.061447143554688,-8.464922904968262
271,6,-9.908709526062012,-10.677521705627441,-9.908453941345215,-10.677294731140137
275,6,-11.484402656555176,-4.698590278625488,-11.484868049621582,-4.698140621185303
285,6,-10.936589241027832,-5.961503982543945,-10.937161445617676,-5.960981369018555
287,6,-11.530736923217773,-11.302465438842773,-11.53036117553711,-11.302858352661133
309,6,-10.216543197631836,-10.2402925491333,-10.217625617980957,-10.239659309387207
311,6,-11.199061393737793,-10.97113037109375,-11.198945045471191,-10.972414016723633
312,6,-10.850438117980957,-9.685539245605469,-10.850041389465332,-9.68546199798584
320,6,-11.533513069152832,-9.256245613098145,-11.53303337097168,-9.25688648223877
322,6,-10.564154624938965,-10.5447998046875,-10.563756942749023,-10.544527053833008
323,6,-11.59595775604248,-5.825004577636719,-11.594901084899902,-5.8246750831604
359,6,-11.208024978637695,-11.799304962158203,-11.207345962524414,-11.798985481262207
367,6,-11.883471488952637,-10.520867347717285,-11.884343147277832,-10.521498680114746
417,6,-10.443062782287598,-10.703309059143066,-10.442456245422363,-10.7033052444458
430,6,-9.772811889648438,-10.913759231567383,-9.773233413696289,-10.914478302001953
990,6,-11.37387466430664,-8.797918319702148,-11.37357234954834,-8.798297882080078
479,6,-11.00280475616455,-8.787521362304688,-11.002433776855469,-8.787193298339844
512,7,-9.15552806854248,-4.948089599609375,-9.155801773071289,-4.948111534118652
8215,7,-10.055472373962402,-9.823354721069336,-10.055957794189453,-9.823111534118652
4151,7,-11.411796569824219,-9.583650588989258,-11.412071228027344,-9.583355903625488
67,7,-9.449017524719238,-10.233501434326172,-9.448904991149902,-10.232816696166992
77,7,-10.350411415100098,-10.664342880249023,-10.349645614624023,-10.664085388183594
588,7,-10.690827369689941,-8.55919075012207,-10.69113540649414,-8.559706687927246
594,7,-8.677924156188965,-8.95654296875,-8.678349494934082,-8.956421852111816
4200,7,-10.975728988647461,-11.66417407989502,-10.97623062133789,-11.663718223571777
659,7,-10.70541763305664,-10.413601875305176,-10.705578804016113,-10.413515090942383
717,7,-10.235648155212402,-10.441835403442383,-10.23530387878418,-10.440889358520508
246,7,-10.62890625,-11.837495803833008,-10.628947257995605,-11.836658477783203
6398,7,-10.26562213897705,-7.13873815536499,-10.266315460205078,-7.138768196105957
271,7,-9.206151962280273,-9.810333251953125,-9.20596694946289,-9.810175895690918
275,7,-11.471293449401855,-1.4222126007080078,-11.471796989440918,-1.422078013420105
285,7,-10.773870468139648,-2.936588764190674,-10.774206161499023,-2.9363350868225098
287,7,-11.705836296081543,-10.760197639465332,-11.705717086791992,-10.760302543640137
309,7,-10.044638633728027,-8.912301063537598,-10.04469108581543,-8.912288665771484
311,7,-10.053146362304688,-10.89333724975586,-10.052961349487305,-10.89416217803955
312,7,-10.16511058807373,-9.366783142089844,-10.16486644744873,-9.366724967956543
320,7,-10.820229530334473,-6.68757438659668,-10.819814682006836,-6.688041687011719
322,7,-10.44176959991455,-10.674609184265137,-10.441473007202148,-10.674383163452148
323,7,-11.961339950561523,-2.062188148498535,-11.960824966430664,-2.062016010284424
359,7,-10.213951110839844,-10.36532211303711,-10.213468551635742,-10.365214347839355
367,7,-10.729658126831055,-10.38466739654541,-10.730137825012207,-10.385074615478516
417,7,-10.603232383728027,-10.086556434631348,-10.602783203125,-10.086530685424805
430,7,-8.824462890625,-10.758797645568848,-8.824674606323242,-10.759321212768555
990,7,-10.650216102600098,-6.282857418060303,-10.65005111694336,-6.283053874969482
479,7,-10.433051109313965,-7.132521629333496,-10.432568550109863,-7.1321563720703125
512,8,-7.461214542388916,-2.446723222732544,-7.46187686920166,-2.4465651512145996
8215,8,-9.27360725402832,-7.140058517456055,-9.272151947021484,-7.140723705291748
4151,8,-12.078614234924316,-6.828688144683838,-12.078545570373535,-6.827550411224365
67,8,-9.317386627197266,-10.760249137878418,-9.317245483398438,-10.76403522491455
77,8,-9.67103385925293,-11.666604042053223,-9.67455768585205,-11.668671607971191
588,8,-11.575149536132812,-1.6458094120025635,-11.57558536529541,-1.6458284854888916
594,8,-7.120809078216553,-3.119220018386841,-7.115415096282959,-3.1213252544403076
4200,8,-11.780064582824707,-12.205551147460938,-11.780243873596191,-12.20586109161377
659,8,-7.96953821182251,-9.64508056640625,-7.967458724975586,-9.646581649780273
717,8,-9.940522193908691,-10.894287109375,-9.94015121459961,-10.895577430725098
246,8,-9.518881797790527,-11.945879936218262,-9.519594192504883,-11.953876495361328
6398,8,-9.509037971496582,-4.8155646324157715,-9.508333206176758,-4.816142559051514
271,8,-8.94433307647705,-7.28008508682251,-8.9434814453125,-7.28035831451416
275,8,-9.941293716430664,-1.6991456747055054,-9.941794395446777,-1.6989814043045044
285,8,-12.046972274780273,-3.2187023162841797,-12.046892166137695,-3.2185466289520264
287,8,-12.902738571166992,-9.13454818725586,-12.902186393737793,-9.134873390197754
309,8,-10.713668823242188,-5.813529014587402,-10.71628475189209,-5.812214374542236
311,8,-9.26114559173584,-10.960039138793945,-9.261489868164062,-10.960869789123535
312,8,-9.68821907043457,-9.662599563598633,-9.688016891479492,-9.662592887878418
320,8,-9.976740837097168,-2.864837884902954,-9.976827621459961,-2.8649916648864746
322,8,-10.863862037658691,-10.348442077636719,-10.864331245422363,-10.349095344543457
323,8,-12.550397872924805,-2.181032419204712,-12.551736831665039,-2.1809768676757812
359,8,-9.012826919555664,-4.8740363121032715,-9.014403343200684,-4.875089168548584
367,8,-9.402753829956055,-9.591811180114746,-9.402938842773438,-9.591507911682129
417,8,-11.446242332458496,-6.9160614013671875,-11.445828437805176,-6.915964126586914
430,8,-6.742491722106934,-11.761100769042969,-6.742402076721191,-11.761462211608887
990,8,-8.438254356384277,-1.263369083404541,-8.438455581665039,-1.2633877992630005
479,8,-8.41528034210205,-3.466465950012207,-8.420015335083008,-3.471890687942505
512,9,-6.19363260269165,-3.95623779296875,-6.195403099060059,-3.9555070400238037
8215,9,-7.442659854888916,-5.709414482116699,-7.443277835845947,-5.7095184326171875
4151,9,-9.816282272338867,-8.047633171081543,-9.817916870117188,-8.045794486999512
67,9,-7.087634563446045,-10.259496688842773,-7.08735466003418,-10.261220932006836
77,9,-8.354528427124023,-10.934911727905273,-8.35787582397461,-10.939079284667969
588,9,-11.89340591430664,-1.4804694652557373,-11.894824028015137,-1.480546236038208
594,9,-6.225893497467041,-3.8551583290100098,-6.22844123840332,-3.8551433086395264
4200,9,-9.716176986694336,-10.74965763092041,-9.717188835144043,-10.751456260681152
659,9,-6.7270188331604,-7.439351558685303,-6.723372459411621,-7.444223880767822
717,9,-10.08684253692627,-11.598194122314453,-10.085325241088867,-11.59844970703125
246,9,-7.431507587432861,-10.54169750213623,-7.437540054321289,-10.55927848815918
6398,9,-7.059880256652832,-4.946805477142334,-7.060431480407715,-4.94728422164917
271,9,-6.62834358215332,-6.085875034332275,-6.627120018005371,-6.085330486297607
275,9,-6.9489426612854,-3.015897035598755,-6.9503173828125,-3.0159335136413574
285,9,-10.19271183013916,-4.894845485687256,-10.193511962890625,-4.894603252410889
287,9,-11.47335433959961,-7.780048847198486,-11.472643852233887,-7.780465126037598
309,9,-10.532885551452637,-5.975283145904541,-10.534782409667969,-5.974544525146484
311,9,-7.380349159240723,-9.34435749053955,-7.380563735961914,-9.344696998596191
312,9,-7.189083099365234,-10.1055269241333,-7.188886642456055,-10.104955673217773
320,9,-9.960556983947754,-3.109699010848999,-9.960273742675781,-3.110745429992676
322,9,-8.70630931854248,-9.78725528717041,-8.711959838867188,-9.790366172790527
323,9,-11.528289794921875,-3.52142071723938,-11.528596878051758,-3.520989418029785
359,9,-9.010830879211426,-4.046278476715088,-9.01041316986084,-4.045931339263916
367,9,-7.584588050842285,-8.7188081741333,-7.583657264709473,-8.716139793395996
417,9,-12.120553016662598,-5.152324199676514,-12.119877815246582,-5.152402877807617
430,9,-4.453851699829102,-9.78278636932373,-4.453501224517822,-9.78341007232666
990,9,-6.85391092300415,-5.465572834014893,-6.853773593902588,-5.464512348175049
479,9,-8.480412483215332,-4.545785903930664,-8.480789184570312,-4.5467848777771
512,10,-3.680837392807007,-6.854867935180664,-3.686445951461792,-6.843358993530273
8215,10,-4.59363317489624,-5.794832706451416,-4.58953857421875,-5.793285846710205
4151,10,-5.646096229553223,-8.21318244934082,-5.654146671295166,-8.217620849609375
67,10,-5.922201633453369,-9.540709495544434,-5.9112396240234375,-9.544788360595703
77,10,-5.698553562164307,-9.050684928894043,-5.718342304229736,-9.070844650268555
588,10,-9.948427200317383,-0.9434338212013245,-9.958508491516113,-0.939804196357727
594,10,-4.438549518585205,-5.289068698883057,-4.430393218994141,-5.283607006072998
4200,10,-7.726273059844971,-5.296626091003418,-7.737414360046387,-5.298543453216553
659,10,-5.818084716796875,-6.776364803314209,-5.805089473724365,-6.7595343589782715
717,10,-10.363398551940918,-10.186383247375488,-10.347918510437012,-10.194284439086914
246,10,-7.015100955963135,-8.857744216918945,-7.0238847732543945,-8.915210723876953
6398,10,-4.308243274688721,-5.507664680480957,-4.302964210510254,-5.505584716796875
271,10,-4.564513683319092,-5.994174480438232,-4.556210041046143,-5.991523265838623
275,10,-2.550750255584717,-4.0034871101379395,-2.5436248779296875,-3.997720241546631
285,10,-3.2457659244537354,-5.221607685089111,-3.249751567840576,-5.21419095993042
287,10,-7.538505554199219,-7.534073352813721,-7.535378932952881,-7.540959358215332
309,10,-6.27435827255249,-9.024641990661621,-6.303276062011719,-9.018513679504395
311,10,-5.900534152984619,-8.648734092712402,-5.889688014984131,-8.649840354919434
312,10,-6.4768595695495605,-11.53622055053711,-6.480924129486084,-11.5587739944458
320,10,-6.2307891845703125,-4.94458532333374,-6.235726356506348,-4.94496488571167
322,10,-7.010869026184082,-7.877673149108887,-7.014380931854248,-7.893980026245117
323,10,-7.081767559051514,-4.228311061859131,-7.088155746459961,-4.221258640289307
359,10,-5.499587059020996,-6.297260761260986,-5.505899429321289,-6.299798488616943
367,10,-6.4396796226501465,-8.631547927856445,-6.432960510253906,-8.6204833984375
417,10,-6.211508750915527,-5.354080677032471,-6.211417198181152,-5.350723743438721
430,10,-3.859930992126465,-9.29388427734375,-3.8376708030700684,-9.27447509765625
990,10,-6.298099040985107,-7.148001670837402,-6.2927165031433105,-7.139674663543701
479,10,-6.599481105804443,-6.671789169311523,-6.59829568862915,-6.673946380615234
512,11,-2.9782121181488037,-6.6404709815979,-2.9750256538391113,-6.6290717124938965
8215,11,-4.500271320343018,-6.640425205230713,-4.507983684539795,-6.658020973205566
4151,11,-3.7254106998443604,-8.889516830444336,-3.722468137741089,-8.89144229888916
67,11,-5.478941440582275,-13.29898738861084,-5.490727424621582,-13.30710220336914
77,11,-5.7604899406433105,-7.687034606933594,-5.768454551696777,-7.7097930908203125
588,11,-8.340364456176758,-2.1014516353607178,-8.341609001159668,-2.086541175842285
594,11,-3.7729177474975586,-6.627325057983398,-3.7287230491638184,-6.649626731872559
4200,11,-5.470178127288818,-7.299888610839844,-5.482131004333496,-7.260015487670898
659,11,-4.981367588043213,-7.050845146179199,-4.96773624420166,-7.045159816741943
717,11,-9.861055374145508,-10.607504844665527,-9.842569351196289,-10.63290786743164
246,11,-6.852391242980957,-9.466513633728027,-6.890222072601318,-9.565082550048828
6398,11,-3.1434905529022217,-5.921086311340332,-3.144873857498169,-5.92594575881958
271,11,-4.870372295379639,-6.596094131469727,-4.841660499572754,-6.596100807189941
275,11,-2.750173330307007,-3.4843575954437256,-2.7026479244232178,-3.502314567565918
285,11,-1.8372838497161865,-5.314432144165039,-1.8536815643310547,-5.302822113037109
287,11,-4.3174357414245605,-6.162466526031494,-4.3345489501953125,-6.154777526855469
309,11,-3.170274257659912,-9.101927757263184,-3.213254928588867,-9.053934097290039
311,11,-5.274351596832275,-10.774680137634277,-5.271906852722168,-10.809510231018066
312,11,-6.32834529876709,-12.959874153137207,-6.327301502227783,-12.93112564086914
320,11,-4.091817378997803,-6.008502006530762,-4.085329055786133,-5.997149467468262
322,11,-6.390168190002441,-6.195087909698486,-6.377105712890625,-6.207832336425781
323,11,-3.805786371231079,-4.434399127960205,-3.8102200031280518,-4.422930717468262
359,11,-3.6519274711608887,-7.174488544464111,-3.6446144580841064,-7.189748764038086
367,11,-6.491389751434326,-9.442148208618164,-6.474453449249268,-9.411928176879883
417,11,-1.9451950788497925,-6.692280292510986,-1.9508289098739624,-6.687311172485352
430,11,-4.0409440994262695,-9.260825157165527,-3.982377290725708,-9.154899597167969
990,11,-6.669968605041504,-5.933454990386963,-6.679173469543457,-5.928580284118652
479,11,-4.003856182098389,-7.778483867645264,-4.051168918609619,-7.796762466430664
512,12,-1.7801769971847534,-9.547758102416992,-1.6873855590820312,-9.604520797729492
8215,12,-3.5555531978607178,-6.487841606140137,-3.560763120651245,-6.55173397064209
4151,12,-1.8018511533737183,-12.493697166442871,-1.7196602821350098,-12.644594192504883
67,12,-5.124719142913818,-9.807143211364746,-5.19403600692749,-9.798906326293945
77,12,-4.7255072593688965,-6.96390962600708,-4.726458549499512,-7.219063758850098
588,12,-5.279229640960693,-2.2654759883880615,-5.3360700607299805,-2.23453426361084
594,12,-3.746249198913574,-8.147514343261719,-3.7152318954467773,-8.29757022857666
